label,sizeL,sizeR,intersection,dice,order
3b,574,557,542,0.9584438549955792,1
V1,831,787,771,0.9530284301606922,2
PCV,164,164,156,0.9512195121951219,3
1,401,387,373,0.9467005076142132,4
4,839,810,776,0.9411764705882353,5
d32,120,123,114,0.9382716049382716,6
RSC,211,211,197,0.933649289099526,7
a32pr,128,127,119,0.9333333333333333,8
POS1,225,212,203,0.9290617848970252,9
7m,130,135,123,0.9283018867924528,10
PGp,147,153,139,0.9266666666666666,11
POS2,250,250,231,0.924,12
OFC,328,352,313,0.9205882352941176,13
V3A,151,147,137,0.9194630872483222,14
EC,86,86,79,0.9186046511627907,15
6mp,258,269,242,0.9184060721062619,16
PHA1,108,112,101,0.9181818181818182,17
p32pr,139,138,127,0.9169675090252708,18
9m,275,266,247,0.9131238447319778,19
25,55,57,51,0.9107142857142857,20
TGd,418,418,380,0.9090909090909091,21
H,233,205,199,0.908675799086758,22
7Am,208,196,183,0.905940594059406,23
3a,305,320,283,0.9056,24
8BM,174,175,158,0.9054441260744985,25
TPOJ3,84,95,81,0.9050279329608939,26
p32,99,101,90,0.9,27
PHA2,68,61,58,0.8992248062015504,28
AVI,126,150,124,0.8985507246376812,29
47s,119,146,119,0.8981132075471698,30
11l,170,153,145,0.8978328173374613,31
V6,114,123,106,0.8945147679324894,32
8Ad,242,239,215,0.893970893970894,33
MI,117,107,100,0.8928571428571429,34
VIP,116,111,101,0.8898678414096917,35
2,574,624,533,0.8898163606010017,36
43,126,135,116,0.8888888888888888,37
s32,54,52,47,0.8867924528301887,38
7Pm,94,96,84,0.8842105263157894,39
23c,243,269,226,0.8828125,40
6a,360,339,308,0.8812589413447782,41
10r,94,74,74,0.8809523809523809,42
24dv,141,157,131,0.8791946308724832,43
ProS,138,133,119,0.8782287822878229,44
IPS1,135,111,108,0.8780487804878049,45
47m,53,61,50,0.8771929824561403,46
7PL,97,77,76,0.8735632183908046,47
6ma,178,209,169,0.8733850129198967,48
PoI2,161,172,145,0.8708708708708709,49
v23ab,72,82,67,0.8701298701298701,50
24dd,223,248,204,0.8662420382165605,51
a24,90,81,74,0.8654970760233918,52
pOFC,78,98,76,0.8636363636363636,53
7AL,204,167,160,0.862533692722372,54
V2,619,601,526,0.8622950819672132,55
PeEc,245,312,239,0.8581687612208259,56
OP4,212,215,183,0.8571428571428571,57
31pv,109,111,94,0.8545454545454545,58
V7,44,45,38,0.8539325842696629,59
Pir,186,193,161,0.8496042216358839,60
31pd,108,81,80,0.8465608465608465,61
6d,154,178,140,0.8433734939759037,62
PreS,159,164,136,0.8421052631578947,63
TE2a,253,279,224,0.8421052631578947,64
p24,58,71,54,0.8372093023255814,65
FOP5,138,156,123,0.8367346938775511,66
IP1,189,194,160,0.835509138381201,67
PF,372,383,315,0.8344370860927153,68
PFm,509,471,408,0.8326530612244898,69
8C,257,243,208,0.832,70
FOP3,84,75,66,0.8301886792452831,71
IP0,108,95,84,0.8275862068965517,72
5mv,191,220,170,0.8272506082725061,73
PI,130,127,106,0.8249027237354085,74
23d,81,113,80,0.8247422680412371,75
VVC,126,124,103,0.824,76
10v,133,98,95,0.8225108225108225,77
RI,205,238,182,0.8216704288939052,78
FOP4,217,156,153,0.8203753351206434,79
AAIC,76,63,57,0.8201438848920863,80
TF,296,313,249,0.8177339901477833,81
7PC,171,196,150,0.8174386920980926,82
6r,242,263,206,0.8158415841584158,83
A4,204,187,158,0.8081841432225064,84
AIP,309,371,274,0.8058823529411765,85
FFC,151,167,128,0.8050314465408805,86
V3,337,347,275,0.804093567251462,87
5m,112,152,106,0.803030303030303,88
SCEF,203,193,159,0.803030303030303,89
44,139,145,114,0.8028169014084507,90
V3B,77,73,60,0.8,91
45,200,135,134,0.8,92
FOP2,104,86,76,0.8,93
IP2,198,218,166,0.7980769230769231,94
8Av,199,207,162,0.7980295566502463,95
PGs,305,209,205,0.7976653696498055,96
10pp,95,96,76,0.7958115183246073,97
DVT,129,130,103,0.7953667953667953,98
FEF,153,179,132,0.7951807228915663,99
13l,117,82,79,0.7939698492462312,100
PoI1,154,163,125,0.7886435331230284,101
LO3,60,65,49,0.784,102
6v,85,117,79,0.7821782178217822,103
STGa,57,48,41,0.780952380952381,104
V4,361,300,258,0.7806354009077155,105
MIP,159,180,132,0.7787610619469026,106
PFop,159,155,122,0.7770700636942676,107
10d,153,118,105,0.7749077490774908,108
p24pr,81,92,67,0.7745664739884393,109
33pr,55,72,49,0.7716535433070866,110
V6A,49,47,37,0.7708333333333334,111
s6-8,55,86,54,0.7659574468085106,112
VMV3,56,59,44,0.7652173913043478,113
9-46d,267,249,197,0.7635658914728682,114
a9-46v,126,95,84,0.7601809954751131,115
PGi,430,377,305,0.7558859975216853,116
IFJa,88,79,63,0.7544910179640718,117
OP2-3,141,87,86,0.7543859649122807,118
A5,138,199,127,0.7537091988130564,119
TPOJ2,156,143,112,0.7491638795986622,120
IFJp,87,63,56,0.7466666666666667,121
5L,188,197,143,0.7428571428571429,122
PHA3,120,85,76,0.7414634146341463,123
PH,225,172,147,0.7405541561712846,124
47l,113,115,83,0.7280701754385965,125
TPOJ1,181,297,174,0.7280334728033473,126
PFt,195,193,141,0.7268041237113402,127
TE1a,124,105,83,0.7248908296943232,128
8BL,151,190,123,0.7214076246334311,129
a24pr,94,53,53,0.7210884353741497,130
p10p,110,148,93,0.7209302325581395,131
FST,98,77,63,0.72,132
STSdp,199,210,147,0.7188264058679706,133
PBelt,164,96,93,0.7153846153846154,134
VMV2,46,83,46,0.7131782945736435,135
STSda,123,188,110,0.707395498392283,136
VMV1,88,113,71,0.7064676616915423,137
46,213,243,161,0.706140350877193,138
A1,77,66,50,0.6993006993006993,139
a47r,176,174,122,0.6971428571428572,140
d23ab,88,47,47,0.6962962962962963,141
OP1,135,92,79,0.6960352422907489,142
IFSp,103,133,82,0.6949152542372882,143
TGv,67,126,67,0.694300518134715,144
PSL,163,175,117,0.6923076923076923,145
SFL,185,119,105,0.6907894736842105,146
52,72,53,43,0.688,147
Ig,65,124,65,0.6878306878306878,148
V3CD,70,79,51,0.6845637583892618,149
LIPv,130,154,97,0.6830985915492958,150
TA2,71,111,62,0.6813186813186813,151
p9-46v,128,181,105,0.6796116504854369,152
LO2,52,31,28,0.6746987951807228,153
i6-8,86,99,62,0.6702702702702703,154
55b,130,107,79,0.6666666666666666,155
V4t,42,45,29,0.6666666666666666,156
STSvp,208,151,118,0.6573816155988857,157
PFcm,131,184,103,0.653968253968254,158
LO1,37,43,26,0.65,159
31a,64,72,44,0.6470588235294118,160
MT,58,42,32,0.64,161
9p,147,103,80,0.64,162
PEF,72,91,52,0.6380368098159509,163
TE1p,238,226,147,0.6336206896551724,164
PHT,182,121,95,0.6270627062706271,165
MST,73,76,46,0.6174496644295302,166
TE1m,102,122,69,0.6160714285714286,167
TE2p,125,145,83,0.6148148148148148,168
PIT,62,62,38,0.6129032258064516,169
p47r,129,100,69,0.6026200873362445,170
9a,151,131,84,0.5957446808510638,171
STV,138,148,85,0.5944055944055944,172
LBelt,76,85,47,0.5838509316770186,173
V8,49,64,31,0.5486725663716814,174
IFSa,159,156,86,0.546031746031746,175
a10p,105,71,48,0.5454545454545454,176
MBelt,91,75,45,0.54216867469879515,177
FOP1,50,71,32,0.5289256198347108,178
STSva,129,81,49,0.4666666666666667,179
LIPd,99,75,39,0.4482758620689655,180
